source_file,game_index,event,site,date,white,black,result,move_number,side_to_move,fen,played_move,engine_best_move,eval_before,eval_after,eval_swing,mate_related,eco,opening
games_2026.pgn,2,D Division Manchester Chess League,Blue Club Chadderton,2026.01.19,Rob Willans,Andrew Beswick,1-0,18,Black,r4rk1/pbp3pp/1p2p3/5p2/3P2nP/2PB2P1/PP1NRP2/2KR4 b - - 5 18,c5,f4,-85.0,-265.0,180.0,False,A45,"Trompowsky Attack: Classical Defense, Big Center Variation"
games_2026.pgn,3,MCF C Division,?,2026.01.26,Rob Willans,Ian Mitchell,0-1,16,Black,r1b1k2r/pp1pnp1p/2q3pQ/4Pp2/3P4/2N2N2/PP3PPP/1R3RK1 b kq - 5 16,Nd5,g5,-298.0,-559.0,261.0,False,A45,"Trompowsky Attack: Classical Defense, Big Center Variation"
games_2026.pgn,3,MCF C Division,?,2026.01.26,Rob Willans,Ian Mitchell,0-1,18,White,r1b1kr2/pp1p1pQp/2q3p1/3nPp2/3P4/2N2N2/PP3PPP/1R3RK1 w q - 8 18,Ng5,Nxd5,776.0,584.0,192.0,False,A45,"Trompowsky Attack: Classical Defense, Big Center Variation"
games_2026.pgn,3,MCF C Division,?,2026.01.26,Rob Willans,Ian Mitchell,0-1,19,White,r1b1kr2/pp1p1pQp/2q3p1/4PpN1/3P1n2/2N5/PP3PPP/1R3RK1 w q - 10 19,Nxh7,d5,700.0,-100000.0,100700.0,True,A45,"Trompowsky Attack: Classical Defense, Big Center Variation"
games_2026.pgn,4,Games 2026: County Championship U1650,?,2026.02.07,Rob Willans,Andrew Batley,0-1,25,Black,6rr/p1q1kp2/2p1pn1p/3p2P1/1PpP3R/2PbPNP1/P2N1K2/6RQ b - - 0 25,Ne4+,Ng4+,1.0,-173.0,174.0,False,D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit"
games_2026.pgn,4,Games 2026: County Championship U1650,?,2026.02.07,Rob Willans,Andrew Batley,0-1,34,White,6r1/p1q2p1R/2p1p3/3kNr2/1PpPp2Q/2P1PbP1/P6K/4R3 w - - 11 34,Rh8,Rf1,175.0,-401.0,576.0,False,D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit"
games_2026.pgn,5,Stockport Limit League,"Spread Eagle, Chorlton",2026.02.10,Rob Willans,Joel Shijo,0-1,20,White,r4r1k/pp3ppp/1q2p3/2bp3n/5P2/2PB1N1P/PPQ2PP1/R3R1K1 w - - 1 20,g3,f5,-10.0,-213.0,203.0,False,D00,Queen's Pawn Game: Accelerated London System
games_2026.pgn,5,Stockport Limit League,"Spread Eagle, Chorlton",2026.02.10,Rob Willans,Joel Shijo,0-1,36,White,2r4k/pp3pp1/4p1qp/3pQ3/1P6/2r2N1P/P7/5R1K w - - 4 36,Nh4,Qe1,-669.0,-925.0,256.0,False,D00,Queen's Pawn Game: Accelerated London System
games_2026.pgn,5,Stockport Limit League,"Spread Eagle, Chorlton",2026.02.10,Rob Willans,Joel Shijo,0-1,36,Black,2r4k/pp3pp1/4p1qp/3pQ3/1P5N/2r4P/P7/5R1K b - - 5 36,Qe4+,Rxh3+,1013.0,669.0,344.0,False,D00,Queen's Pawn Game: Accelerated London System
games_2026.pgn,8,Ashton 3 vs Blue Club 3,Ashton Home,2026.03.04,Jay Unadkat,Rob Willans,0-1,5,Black,rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq - 0 5,Nc6,a6,24.0,-215.0,239.0,False,D01,Rapport-Jobava System
games_2026.pgn,8,Ashton 3 vs Blue Club 3,Ashton Home,2026.03.04,Jay Unadkat,Rob Willans,0-1,6,White,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq - 1 6,dxc5,Nb5,201.0,-20.0,221.0,False,D01,Rapport-Jobava System
games_2026.pgn,8,Ashton 3 vs Blue Club 3,Ashton Home,2026.03.04,Jay Unadkat,Rob Willans,0-1,27,Black,3q2k1/r4ppp/p1b2n2/1p2pQ1N/4P3/RB5P/5PP1/6K1 b - - 3 27,Qe7,Nxh5,289.0,124.0,165.0,False,D01,Rapport-Jobava System
games_2026.pgn,8,Ashton 3 vs Blue Club 3,Ashton Home,2026.03.04,Jay Unadkat,Rob Willans,0-1,28,White,6k1/r3qppp/p1b2n2/1p2pQ1N/4P3/RB5P/5PP1/6K1 w - - 4 28,Qg5,Nxf6+,-90.0,-378.0,288.0,False,D01,Rapport-Jobava System
